Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),preparation,micronutrient_density,clusters
0.0,0.048,0.4,9.0,2.3,chicken spread,0.5,88.0,0.3,0.2,9.8,10.1,other,17.579642579642577,0
0.0,0.027,1.2,170.4,8.4,cheese spread,2.7,708.0,8.4,0.0,68.6,17.0,other,4.9234028683181235,3
0.0,0.034,0.098,63.0,3.9,tahini,0.4,86.0,0.0,1.4,7.2,2.7,other,18.10276287020473,0
1.0,0.06,0.016,7.6,13.3,orange marmalade,0.053,49.0,12.0,0.1,0.0,0.014,other,34.67381824524682,0
0.0,0.066,0.3,89.9,1.4,american cheese spread,0.079,46.0,1.2,0.0,3.4,2.6,other,51.857116313638066,0
1.8,0.017,0.004,4.0,12.9,apricot jam,0.066,48.0,8.7,0.044,0.01,0.1,other,14.425747863247862,0
0.0,0.094,0.03,7.2,3.5,chunky peanut butter,0.3,94.0,1.3,1.3,8.0,3.8,other,27.362247681396624,0
0.0,0.094,0.2,32.6,0.3,ham and cheese spread,0.1,37.0,0.0,0.0,2.8,2.4,other,71.7925617925618,0
0.0,0.0,0.0,0.0,2.4,chicken and rice casserole homade,0.0,27.0,0.0,0.3,1.0,2.0,other,0.0,0
0.0,0.005,0.3,13.2,1.3,picnic loaf,0.3,65.0,0.0,0.0,4.7,4.2,other,6.04930966469428,0
0.0,0.0,0.5,39.8,44.3,corn tamale,0.9,309.0,12.3,5.3,12.0,5.8,other,2.60891212347523,1
28.7,0.011,1.0,308.0,44.4,baked potato with cheese sauce bacon,3.1,451.0,0.0,0.0,25.9,18.4,other,16.7524210207137,1
0.0,0.0,0.4,35.6,24.3,chinese egg roll,1.3,223.0,0.0,2.3,10.6,7.4,other,4.466674332145184,6
0.1,0.021,0.2,21.1,26.1,butter croissant,1.2,231.0,6.4,1.5,12.0,4.7,other,5.909460909460909,6
